City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Qui Nhon,VN,76.84,overcast clouds,13.7667,109.2333,Seagull Hotel
256,Marsciano,IT,66.69,overcast clouds,42.9059,12.3359,Antico Casolare
258,Mahuva,IN,81.01,scattered clouds,21.0914,71.7622,Hotel Blue Diamond.
259,Vanimo,PG,77.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
260,Alamo,MX,78.44,overcast clouds,20.9167,-97.6833,Hotel Elizabeth
262,Saldanha,ZA,80.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
263,Tigzirt,DZ,72.52,light rain,36.8886,4.1198,Bloc D tazoumbirt (amar)
264,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
268,Gigmoto,PH,80.04,overcast clouds,13.7796,124.39,Cj's Travellers Inn
270,Basco,PH,78.62,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
271,Asfi,MA,69.94,overcast clouds,32.2994,-9.2372,Hôtel Abda
272,Ahuimanu,US,77.77,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
275,Bereda,ES,66.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
277,Maputo,MZ,74.88,broken clouds,-25.9653,32.5892,Pestana Rovuma
279,Waddan,LY,79.83,clear sky,29.1614,16.139,محل الشريف محمد العايب
280,Mabaruma,GY,88.7,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
286,Badiraguato,MX,86.7,clear sky,25.3667,-107.5167,"Hotel ""Real Del Campo"""
287,Nouadhibou,MR,75.18,scattered clouds,20.931,-17.0347,El Medina
289,Half Moon Bay,US,66.88,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
290,Puerto Colombia,CO,89.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
297,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
298,Chimore,BO,69.46,overcast clouds,-16.9833,-65.1333,Bichito
299,Agnibilekrou,CI,78.76,light rain,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
301,Sao Felix Do Xingu,BR,89.02,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
302,Itarema,BR,87.66,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
303,Carutapera,BR,87.4,broken clouds,-1.195,-46.02,Lidera
304,Kupang,ID,80.4,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
305,Isangel,VU,72.86,overcast clouds,-19.55,169.2667,Tanna Lodge
307,Faya,SA,69.91,scattered clouds,18.3851,42.4509,شيلة نسايم
308,Sur,OM,80.33,clear sky,22.5667,59.5289,Sur Plaza Hotel
313,Quata,BR,75.7,light rain,-22.2475,-50.6983,Hotel Patrao de Quata
316,Doha,QA,89.49,clear sky,25.2867,51.5333,Mövenpick Doha
